source,target,name,status,verified,dedupe_by,match_score,reason
/hausarzt/bruehl/frau-eugenie-peters-brhl,https://navoria.de/praxis/bruehl/frau-eugenie-peters-htV5b0,Frau Eugenie Peters,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/buchen-odenwald/herr-helmut-koenig-5360,https://navoria.de/praxis/buchen-odenwald/herr-helmut-koenig-kSYPy8,Herr Helmut König,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bueren/dr-pikrun-bren,https://navoria.de/praxis/bueren/dr-pikrun-WNIwrI,Dr. Pikrun,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,https://navoria.de/praxis/burghausen/herr-dr-med-christian-schweinberger-Te6A1s,Herr Dr. med. Christian Schweinberger,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,https://navoria.de/praxis/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-Q2apQk,"Andrey Nefedev, Julia Carolin Nefedev",PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/celle/frau-dr-med-gisela-winterhoff-celle,https://navoria.de/praxis/celle/frau-dr-med-gisela-winterhoff-WDOhbg,Frau Dr. med. Gisela Winterhoff,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/clausthal-zellerfeld/frau-dr-med-friederike-bahr-clausthal-zellerfeld,https://navoria.de/praxis/clausthal-zellerfeld/frau-dr-med-friederike-bahr-ffb0nI,Frau Dr. med. Friederike Bahr,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/cloppenburg/arztpraxis-tatjana-tissen-und-katharina-inomjonov-cloppenburg,https://navoria.de/praxis/cloppenburg/arztpraxis-tatjana-tissen-und-katharina-inomjonov-BkiuXw,Arztpraxis Tatjana Tissen und Katharina Inomjonov,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/cloppenburg/drmed-holger-laing-cloppenburg,https://navoria.de/praxis/cloppenburg/dr-med-holger-laing-QBvQmk,Dr.med. Holger Laing,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/coswig/dipl-med-maren-schumann-coswig,https://navoria.de/praxis/coswig-anhalt/dipl-med-maren-schumann-kofDnI,Dipl.-Med. Maren Schumann,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/cottbus/herr-dr-med-andreas-pietzko-cottbus,https://navoria.de/praxis/cottbus/herr-dr-med-andreas-pietzko-jSzg7c,Herr Dr. med. Andreas Pietzko,MATCHED_PHASE2,yes,,,name+plz
/hausarzt/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer,https://navoria.de/praxis/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer-XTt3zQ,Gemeinschaftspraxis Ulrich Rupp & Florian Setzer,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,https://navoria.de/praxis/crailsheim/herr-dr-gerhard-slavetinsky-RyO8HE,Herr Dr. Gerhard Slavetinsky,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/cuxhaven/herr-dr-med-roland-hartwig-cuxhaven,https://navoria.de/praxis/cuxhaven/herr-dr-med-roland-hartwig-HvFjtw,Herr Dr. med. Roland Hartwig,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,https://navoria.de/praxis/delitzsch/pneumologenzentrum-dr-med-gerald-eckhardt-AKgefI,Pneumologenzentrum Dr. med. Gerald Eckhardt,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/dorsten/herr-dr-med-georg-haase-dorsten,https://navoria.de/praxis/dorsten/herr-dr-med-georg-haase-r66a3d4,Herr Dr. med. Georg Haase,REVIEW_CREATED,yes,,,
/hausarzt/dresden/frau-dr-med-antje-rahrisch-dresden,https://navoria.de/praxis/dresden/frau-dr-med-antje-rahrisch-lkJiWU,Frau Dr. med. Antje Rahrisch,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/dueren/herr-dr-med-axel-storch-dren,https://navoria.de/praxis/dueren/herr-dr-med-axel-storch-Iojlrk,Herr Dr. med. Axel Storch,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/duisburg/herr-matthias-mahle-duisburg,https://navoria.de/praxis/duisburg/herr-matthias-mahle-Giz2S4,Herr Matthias Mahle,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/ebersbach/frau-dr-med-danijela-arizanovic-ebersbach,https://navoria.de/praxis/ebersbach-an-der-fils/frau-dr-med-danijela-arizanovic-6KhZnQ,Frau Dr. med. Danijela Arizanovic,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/eberswalde/dr-med-konstantin-zellmer-eberswalde,https://navoria.de/praxis/eberswalde/dr-med-konstantin-zellmer--QT_Nw,Dr. med. Konstantin Zellmer,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/ehingen-donau/goetz-kitzig-2066,https://navoria.de/praxis/ehingen-donau/goetz-kitzig-6urE2Q,Götz Kitzig,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/eichstaett/dr-med-margret-bauer-eichsttt,https://navoria.de/praxis/eichstaett/dr-med-margret-bauer-L1fwKw,Dr. med. Margret Bauer,PLACES_IMPORTED_NEW,yes,,0.98,
